year,state_po,state_fips,district,office,d_prob
1976,NC,37,8,house,0.657236846459846
1976,NC,37,9,house,0.4606796369027492
1976,NC,37,10,house,0.40216194215667495
1976,NC,37,11,house,0.5089720994550039
1976,ND,38,0,house,0.3596751770554124
1976,OH,39,1,house,0.3362219495504849
1976,OH,39,2,house,0.5137470358955237
1976,OH,39,3,house,0.2330059020182426
1976,OH,39,4,house,0.2994038980787132
1976,OH,39,5,house,0.3255909380500394
1976,OH,39,6,house,0.38515255755724137
1976,OH,39,7,house,0.3514847671746415
1976,OH,39,8,house,0.28770986074356864
1976,OH,39,9,house,0.5420047746905678
1976,OH,39,10,house,0.31236209059836456
1976,OH,39,11,house,0.2825797556221176
1976,OH,39,12,house,0.4566176470588235
1976,OH,39,13,house,0.6601846251596073
1976,OH,39,14,house,0.7409311277316247
1976,OH,39,15,house,0.3449880803723465
1976,OH,39,16,house,0.3197810340569013
1976,OH,39,17,house,0.43203505705152
1976,OH,39,18,house,0.6290614204074604
1976,OH,39,19,house,0.5024375330053642
1976,OH,39,20,house,0.8098724339214272
1976,OH,39,21,house,0.8383321474832612
1976,OH,39,22,house,0.7273246832613751
1976,OH,39,23,house,0.732010315057742
1976,OK,40,1,house,0.5396858493188769
1976,OK,40,2,house,0.5396878936245343
1976,OK,40,3,house,0.8196082680898329
1976,OK,40,4,house,0.7494029879567705
1976,OK,40,5,house,0.4738216576658807
1976,OK,40,6,house,0.710763966068927
1976,OR,41,1,house,0.5865303030303031
1976,OR,41,2,house,0.7198549598979901
1976,OR,41,3,house,0.8387583238727824
1976,OR,41,4,house,0.5002001208893536
1976,PA,42,1,house,0.7354480072862033
1976,PA,42,2,house,0.7354605038528744
1976,PA,42,3,house,0.7315566170689374
1976,PA,42,4,house,0.6751945570623049
1976,PA,42,5,house,0.4045108741622343
1976,PA,42,6,house,0.7382623012408976
1976,PA,42,7,house,0.5408226299845318
1976,PA,42,8,house,0.4949557806806136
1976,PA,42,9,house,1.0
1976,PA,42,10,house,0.3743573345058283
1976,PA,42,11,house,0.7082580687283727
1976,PA,42,12,house,0.6768438558397286
1976,PA,42,13,house,0.365940622877656
1976,PA,42,14,house,0.7170454260730125
1976,PA,42,15,house,0.6521900653124812
1976,PA,42,16,house,0.36966539899651657
1976,PA,42,17,house,0.5072175387368718
1976,PA,42,18,house,0.5945574534567172
1976,PA,42,19,house,0.29403131115459885
1976,PA,42,20,house,0.7495543028519064
1976,PA,42,21,house,0.5940463567033902
1976,PA,42,22,house,0.5531764491266475
1976,PA,42,23,house,0.5654424000660915
1976,PA,42,24,house,0.4379485662316602
1976,PA,42,25,house,0.4321191962255259
1976,RI,44,1,house,0.6239184607651255
1976,RI,44,2,house,0.7649520583224375
1976,SC,45,1,house,0.6888040887948936
1976,SC,45,2,house,0.4179592399737922
1976,SC,45,3,house,0.9990242246828729
1976,SC,45,4,house,0.7351500821544503
1976,SC,45,5,house,0.5141467590070812
1976,SC,45,6,house,0.5545523609163161
1976,SD,46,1,house,0.1937835461476884
1976,SD,46,2,house,0.3013838913087698
1976,TN,47,1,house,0.4119323906266668
1976,TN,47,2,house,0.3719678426625676
1976,TN,47,3,house,0.6747980323475097
1976,TN,47,4,house,0.9402638462227944
1976,TN,47,5,house,0.92419446056217
1976,TN,47,6,house,0.35540730530668496
1976,TN,47,7,house,0.9998580875883404
1976,TN,47,8,house,0.6066922159152536
1976,TX,48,1,house,0.8371609839349979
1976,TX,48,2,house,0.9503768576741282
1976,TX,48,3,house,0.259579193908726
1976,TX,48,4,house,0.6272145683934894
1976,TX,48,5,house,0.5396523758030659
1976,TX,48,6,house,0.6592940941872445
1976,TX,48,8,house,0.606511788334543
1976,TX,48,9,house,1.0
1976,TX,48,10,house,0.7682116988979992
1976,TX,48,11,house,0.5740398093636109
1976,TX,48,12,house,0.7583402230018099
1976,TX,48,13,house,0.5929761814612665
1976,TX,48,14,house,0.6141937431502129
1976,TX,48,15,house,0.7436705885756022
1976,TX,48,16,house,0.5778974874371859
1976,TX,48,17,house,1.0
1976,TX,48,18,house,0.8550820925406822
1976,TX,48,19,house,0.5463551669059472
1976,TX,48,20,house,1.0
1976,TX,48,21,house,0.7103899191631003
1976,TX,48,22,house,0.5006950135372039
1976,TX,48,23,house,1.0
1976,TX,48,24,house,0.6339391060510872
1976,UT,49,1,house,0.5817307153189724
1976,UT,49,2,house,0.40148751357220414
1976,VT,50,0,house,0.3257983688975717
1976,VA,51,1,house,0.4745282380791343
1976,VA,51,2,house,0.3431115377295257
1976,VA,51,3,house,0.8792680600594054
1976,VA,51,4,house,0.4696896355353075
1976,VA,51,5,house,0.9995943766756696
1976,VA,51,8,house,0.5160016612222381
1976,VA,51,9,house,0.4264913076702646
1976,VA,51,10,house,0.5472032677358579
1976,WA,53,1,house,0.2583084328979653
1976,WA,53,2,house,0.4926511764543877
1976,WA,53,3,house,0.7080342513848794
1976,WA,53,4,house,0.5777906883564388
1976,WA,53,5,house,0.5801147559148436
1976,WA,53,6,house,0.7348125738998903
1976,WA,53,7,house,0.7299669073076965
1976,WV,54,1,house,0.5803511485640934
1976,WV,54,2,house,0.7357249475042376
1976,WV,54,3,house,1.0
1976,WV,54,4,house,0.4558377394469966
1976,WI,55,1,house,0.6489869260796828
1976,WI,55,2,house,0.6559343888055127
1976,WI,55,3,house,0.5811809737120316
1976,WI,55,4,house,0.999552957159362
1976,WI,55,5,house,0.7776740379572477
1976,WI,55,6,house,0.3664349823626351
1976,WI,55,7,house,0.7325305530976288
1976,WI,55,8,house,0.5085179697158339
1976,WI,55,9,house,0.3408362975004426
1976,WY,56,0,house,0.564444122527458
1978,AL,1,1,house,0.3606422909924127
1978,AL,1,2,house,0.4599916095650958
1978,AL,1,3,house,0.9999732966607474
1978,AL,1,4,house,0.9999885558645472
1978,AL,1,5,house,0.9684008085799316
1978,AL,1,6,house,0.3829305632519653
1978,AL,1,7,house,0.938142588212579
1978,AK,2,0,house,0.44429771232093535
1978,AZ,4,1,house,0.2903067742330644
1978,AZ,4,2,house,0.5253837163401627
1978,AZ,4,3,house,0.8495173283306624
1978,AZ,4,4,house,0.3383089073667232
1978,AR,5,1,house,1.0
1978,AR,5,2,house,0.4876594074946047
1978,AR,5,3,house,0.21556496255291435
1978,AR,5,4,house,1.0
1978,CA,6,1,house,0.5935240878128379
1978,CA,6,2,house,0.4527013529465178
1978,CA,6,3,house,0.5343564401553395
1978,CA,6,4,house,0.5537265689571411
1978,CA,6,5,house,0.668431569061261
1978,CA,6,6,house,0.6829954578852448
1978,CA,6,7,house,0.6344604170884794
1978,CA,6,8,house,0.5736305616889992
1978,CA,6,9,house,0.6537637437999985
1978,CA,6,10,house,0.6712748883698019
1978,CA,6,11,house,0.6052364072355731
1978,CA,6,12,house,0.21533560296092705
1978,CA,6,13,house,0.574865563038532
1978,CA,6,14,house,0.4262130898529437
1978,CA,6,15,house,0.6010901011780125
1978,CA,6,16,house,0.6137076039868982
1978,CA,6,17,house,0.455051246472406
1978,CA,6,18,house,0.4074348208047702
1978,CA,6,19,house,0.2426303194741224
1978,CA,6,20,house,0.33619229411132545
1978,CA,6,21,house,0.595055502746943
1978,CA,6,22,house,0.3536480798212337
1978,CA,6,23,house,0.6564354112428349
1978,CA,6,24,house,0.6266065654668522
1978,CA,6,25,house,0.6738683429779985
1978,CA,6,27,house,0.4899812862294034
1978,CA,6,28,house,1.0
1978,CA,6,29,house,0.8499595964861977
1978,CA,6,30,house,0.7141732792823875
1978,CA,6,31,house,0.6775685577613594
1978,CA,6,32,house,0.7142622745128319
1978,CA,6,33,house,0.4401962371456927
1978,CA,6,34,house,0.4366561469283155
1978,CA,6,35,house,0.5401330376940133
1978,CA,6,36,house,0.6291635709537403
1978,CA,6,37,house,0.3483132474595018
1978,CA,6,38,house,0.5860960324301656
1978,CA,6,39,house,0.3629118834883074
1978,CA,6,40,house,0.3405190866928291
1978,CA,6,41,house,0.41862599541098666
1978,CA,6,42,house,0.7373727749144614
1978,CA,6,43,house,0.31343393932423663
1978,CO,8,1,house,0.6145881304315531
1978,CO,8,2,house,0.5289284931081883
1978,CO,8,3,house,0.4925623223653512
1978,CO,8,4,house,0.3881584412193993
1978,CO,8,5,house,0.3440889582520484
1978,CT,9,1,house,0.5954254653346005
1978,CT,9,2,house,0.699125972640186
1978,CT,9,3,house,0.5812578412481166
1978,CT,9,4,house,0.416331408639582
1978,CT,9,5,house,0.52315413194313
1978,CT,9,6,house,0.6418990033508033
1978,DE,10,0,house,0.4116560679334374
1978,FL,12,1,house,0.6326197320485062
1978,FL,12,2,house,0.8174996552900281
1978,FL,12,3,house,1.0
1978,FL,12,4,house,0.731221240537209
1978,FL,12,5,house,0.4893076383618495
1978,FL,12,6,house,0.21246106570228065
1978,FL,12,7,house,1.0
1978,FL,12,8,house,1.0
1978,FL,12,9,house,0.6149213347342687
1978,FL,12,11,house,0.5528657167317338
1978,FL,12,12,house,0.6164056966143959
1978,FL,12,13,house,1.0
1978,FL,12,14,house,0.6312945983366092
1978,FL,12,15,house,0.7417299330761786
1978,GA,13,1,house,0.9999729451869488
1978,GA,13,2,house,0.9999526470309688
1978,GA,13,3,house,0.9999817790896832
1978,GA,13,4,house,0.8090400332827828
1978,GA,13,5,house,0.7547620751341682
1978,GA,13,6,house,0.4558701178645713
1978,GA,13,7,house,0.6648688334792308
1978,GA,13,8,house,0.9997815162770374
1978,GA,13,9,house,0.7693083972199163
1978,GA,13,10,house,0.9998404149212048
1978,HI,15,1,house,0.7326101271964787
1978,HI,15,2,house,0.8573106112774269
1978,ID,16,1,house,0.4007687415313995
1978,ID,16,2,house,0.42693289530757794
1978,IL,17,1,house,0.5854033637224867
1978,IL,17,2,house,0.859997661490056
1978,IL,17,3,house,0.6519141689373297
1978,IL,17,4,house,0.33129173186810074
1978,IL,17,5,house,0.8399741289806478
1978,IL,17,6,house,0.33812064947584963
1978,IL,17,7,house,0.8630065742975637
1978,IL,17,8,house,0.8595956184968658
1978,IL,17,9,house,0.7532718965383722
1978,IL,17,10,house,0.5018198744875471
1978,IL,17,11,house,0.7372450988111172
1978,IL,17,12,house,0.2045848778205636
1978,IL,17,13,house,0.3883499780404438
1978,IL,17,14,house,0.24932513165464446
1978,IL,17,15,house,0.3761688732524766
1978,IL,17,16,house,0.3449948426804422
1978,IL,17,17,house,0.2937853107344633
1978,IL,17,18,house,0.3411664649003172
1978,IL,17,20,house,0.3036493604213695
1978,IL,17,21,house,0.21725408947457175
1978,IL,17,22,house,0.4600929835678837
1978,IL,17,23,house,0.7416912242145747
1978,IL,17,24,house,0.6562974158192562
1978,IN,18,1,house,0.8025618276588666
1978,IN,18,2,house,0.5652567602793288
1978,IN,18,3,house,0.5552812829055256
1978,IN,18,4,house,0.3375880176155119
1978,IN,18,5,house,0.3238576077590811
1978,IN,18,6,house,0.5218412658506308
1978,IN,18,7,house,0.4369074755219396
1978,IN,18,8,house,0.4800686402835795
1978,IN,18,9,house,0.6563361742735858
1978,IN,18,10,house,0.5609750500986677
1978,IN,18,11,house,0.5724444113513463
1978,IA,19,1,house,0.3575642094398793
1978,IA,19,2,house,0.4709378462778282
1978,IA,19,3,house,0.25177025963808025
1978,IA,19,4,house,0.6469590891152783
1978,IA,19,5,house,0.5893135781261184
1978,IA,19,6,house,0.6628606637811029
1978,KS,20,2,house,0.4797145950067743
1978,KS,20,4,house,0.6954435285048579
1978,KS,20,5,house,0.4138996856055079
1978,KY,21,1,house,0.9998412590425652
1978,KY,21,2,house,0.999506294742039
1978,KY,21,3,house,0.6566791510611736
1978,KY,21,4,house,0.34159429050148993
1978,KY,21,5,house,0.20824829706591744
1978,KY,21,6,house,0.4611839738666304
1978,KY,21,7,house,0.7647433995846931
1978,LA,22,2,house,1.0
1978,LA,22,4,house,0.5010160427807486
1978,LA,22,5,house,1.0
1978,LA,22,7,house,1.0
1978,LA,22,8,house,1.0
1978,ME,23,1,house,0.35803241977759115
1978,ME,23,2,house,0.4085311234013535
1978,MD,24,1,house,0.3649629834910329
1978,MD,24,2,house,0.6640379292463313
1978,MD,24,3,house,1.0
1978,MD,24,4,house,0.3795561428062276
1978,MD,24,5,house,0.7719807683153235
1978,MD,24,6,house,0.8966541377423778
1978,MD,24,7,house,0.8869707618300297
1978,MD,24,8,house,0.5126645705194854
1978,MA,25,2,house,0.7282099814308964
1978,MA,25,3,house,0.7518238518238518
1978,MA,25,4,house,0.9987622319290348
1978,MA,25,5,house,0.5220956561520955
1978,MA,25,6,house,0.5375128013507154
1978,MA,25,7,house,0.8483448492828263
1978,MA,25,8,house,0.7460855340032718
1978,MA,25,9,house,0.9180577283432756
1978,MA,25,10,house,0.3885311786867277
1978,MA,25,11,house,0.9171161526742702
1978,MA,25,12,house,0.9991235956326792
1978,MI,26,1,house,0.9287238671446036
1978,MI,26,2,house,0.3161661793439852
1978,MI,26,3,house,0.5133141703871323
1978,MI,26,4,house,0.2827663794890014
1978,MI,26,5,house,0.4873009924688418
1978,MI,26,6,house,0.567270390142786
1978,MI,26,7,house,0.7663370655809221
1978,MI,26,8,house,0.6656832938266516
1978,MI,26,9,house,0.30400582417144906
1978,MI,26,10,house,0.5147432872893719
1978,MI,26,11,house,0.4507709408042865
1978,MI,26,12,house,0.5491136490103077
1978,MI,26,13,house,0.7918044673964947
1978,MI,26,14,house,0.6735708102215525
1978,MI,26,15,house,0.7958258396419758
1978,MI,26,16,house,0.7647713965162843
1978,MI,26,17,house,0.9520751607645046
1978,MI,26,18,house,0.7446540797638967
1978,MI,26,19,house,0.28706983651657353
1978,MN,27,1,house,0.42500599707036735
1978,MN,27,2,house,0.2961111003543284
1978,MN,27,3,house,0.3426605200149072
1978,MN,27,4,house,0.5803972548901049
1978,MN,27,5,house,0.6232569839618729
1978,MN,27,6,house,0.5527782018012517
1978,MN,27,7,house,0.4513026693567161
1978,MN,27,8,house,0.8717790660947354
1978,MS,28,1,house,0.6657844946663417
1978,MS,28,2,house,0.6174845837615622
1978,MS,28,3,house,0.9236282052446568
1978,MS,28,4,house,0.26365301365301363
1978,MO,29,1,house,0.6660943339056661
1978,MO,29,2,house,0.5641864850936921
1978,MO,29,3,house,0.8189173167347049
1978,MO,29,4,house,0.7279940191964501
1978,MO,29,5,house,0.7196992929177874
1978,MO,29,6,house,0.4405885249225244
1978,MO,29,7,house,0.3882059713194124
1978,MO,29,8,house,0.6046247916901603
1978,MO,29,9,house,0.7469400160251982
1978,MO,29,10,house,0.6529983205453288
1978,MT,30,1,house,0.5730236028485967
1978,MT,30,2,house,0.4313825555739009
1978,NE,31,1,house,0.4186785185881027
1978,NE,31,2,house,0.5231477713572611
1978,NE,31,3,house,0.19987229329596312
1978,NV,32,0,house,0.7242453557198839
1978,NH,33,1,house,0.6160613848847171
1978,NH,33,2,house,0.3187111644812663
1978,NJ,34,1,house,0.7940128723245024
1978,NJ,34,2,house,0.6642594174299767
1978,NJ,34,3,house,0.5595582558490819
1978,NJ,34,4,house,0.6108465188477888
1978,NJ,34,5,house,0.2744603772497785
1978,NJ,34,6,house,0.3838066187982509
1978,NJ,34,7,house,0.5254764683002723
1978,NJ,34,8,house,0.744562771861407
1978,NJ,34,9,house,0.3788618427624788
1978,NJ,34,10,house,0.8635401477021497
1978,NJ,34,11,house,0.7053701247862975
1978,NJ,34,12,house,0.26628143541188026
1978,NJ,34,13,house,0.4815805886968593
1978,NJ,34,14,house,0.6361116385038922
1978,NJ,34,15,house,0.4827502890771966
1978,NM,35,1,house,0.3747219809782033
1978,NM,35,2,house,1.0
