year,state_po,state_fips,office,d_prob
1988,IA,19,president,0.5471192398259158
1988,KS,20,president,0.4255964488985382
1988,KY,21,president,0.4388359469103233
1988,LA,22,president,0.4406455710040892
1988,ME,23,president,0.4388353887592674
1988,MD,24,president,0.4819903427405478
1988,MA,25,president,0.5322905149306765
1988,MI,26,president,0.4567207834593339
1988,MN,27,president,0.5291283342633263
1988,MS,28,president,0.39067144591622144
1988,MO,29,president,0.4785044916272857
1988,MT,30,president,0.4619852655644098
1988,NE,31,president,0.3919103807457688
1988,NV,32,president,0.3868412539744064
1988,NH,33,president,0.36334498640475
1988,NJ,34,president,0.4259814237730408
1988,NM,35,president,0.4689357425482415
1988,NY,36,president,0.5019497561012464
1988,NC,37,president,0.41706311464272827
1988,ND,38,president,0.429720010361265
1988,OH,39,president,0.4414684136075665
1988,OK,40,president,0.41281651460757823
1988,OR,41,president,0.5127811239799815
1988,PA,42,president,0.4838674050443858
1988,RI,44,president,0.5563785459021012
1988,SC,45,president,0.37581198548897626
1988,SD,46,president,0.4650612956922084
1988,TN,47,president,0.4154585179526356
1988,TX,48,president,0.43349369220309497
1988,UT,49,president,0.32046435283644104
1988,VT,50,president,0.4757980996843766
1988,VA,51,president,0.3923140487194568
1988,WA,53,president,0.5004768790078343
1988,WV,54,president,0.5219811085378939
1988,WI,55,president,0.5141403024628491
1988,WY,56,president,0.3801337857049804
1992,AL,1,president,0.4088006350485172
1992,AK,2,president,0.3028711132430195
1992,AZ,4,president,0.3652045259671481
1992,AR,5,president,0.5320795284925204
1992,CA,6,president,0.4600658784028094
1992,CO,8,president,0.4012802865190737
1992,CT,9,president,0.4221857295954104
1992,DE,10,president,0.43523927905531373
1992,DC,11,president,0.8464090485648498
1992,FL,12,president,0.3899012156452978
1992,GA,13,president,0.4346868533599755
1992,HI,15,president,0.4809275779016313
1992,ID,16,president,0.2841921205358069
1992,IL,17,president,0.4857967781991728
1992,IN,18,president,0.3679390564346401
1992,IA,19,president,0.4328583862330551
1992,KS,20,president,0.3373849413602757
1992,KY,21,president,0.4455114207247639
1992,LA,22,president,0.4558453914124838
1992,ME,23,president,0.3876679730212995
1992,MD,24,president,0.4981260518598394
1992,MA,25,president,0.4754141092792782
1992,MI,26,president,0.4377368748439939
1992,MN,27,president,0.4348465127847806
1992,MS,28,president,0.4076806414386739
1992,MO,29,president,0.4407168575694087
1992,MT,30,president,0.3763112452293446
1992,NE,31,president,0.29403454157435605
1992,NV,32,president,0.3735754999822246
1992,NH,33,president,0.3891179509135077
1992,NJ,34,president,0.42953959123027496
1992,NM,35,president,0.4589884663833849
1992,NY,36,president,0.4727630691275797
1992,NC,37,president,0.42653368302161293
1992,ND,38,president,0.3218350517471352
1992,OH,39,president,0.4018128056321024
1992,OK,40,president,0.3402473749585539
1992,OR,41,president,0.42478855058958337
1992,PA,42,president,0.4514616487325119
1992,RI,44,president,0.4704796356136888
1992,SC,45,president,0.4276254117463252
1992,SD,46,president,0.37140970813730095
1992,TN,47,president,0.4708479308880391
1992,TX,48,president,0.37078458334051023
1992,UT,49,president,0.2465450175941333
1992,VT,50,president,0.4611375176475056
1992,VA,51,president,0.4058607440265809
1992,WA,53,president,0.43410220037463415
1992,WV,54,president,0.4841482161898089
1992,WI,55,president,0.4113155574098482
1992,WY,56,president,0.3409977787116528
1996,AL,1,president,0.4315608769582409
1996,AK,2,president,0.3326711364953233
1996,AZ,4,president,0.4651706594607681
1996,AR,5,president,0.5373644915194817
1996,CA,6,president,0.5109886561852729
1996,CO,8,president,0.4442649840934877
1996,CT,9,president,0.5283158147196567
1996,DE,10,president,0.518278497839814
1996,DC,11,president,0.8519001109160806
1996,FL,12,president,0.4802557119781926
1996,GA,13,president,0.4584146584952188
1996,HI,15,president,0.5692880151060757
1996,ID,16,president,0.3364638985094903
1996,IL,17,president,0.5431527783028726
1996,IN,18,president,0.4155713764574927
1996,IA,19,president,0.5026096469015254
1996,KS,20,president,0.3608479940426324
1996,KY,21,president,0.4584217848532593
1996,LA,22,president,0.5200999574541791
1996,ME,23,president,0.5162395588689167
1996,MD,24,president,0.5425477435186173
1996,MA,25,president,0.614720987115381
1996,MI,26,president,0.5169482057469723
1996,MN,27,president,0.5110075658200806
1996,MS,28,president,0.4408110022072882
1996,MO,29,president,0.4753957827961623
1996,MT,30,president,0.4125006448316437
1996,NE,31,president,0.3495065801613487
1996,NV,32,president,0.4393349688441648
1996,NH,33,president,0.4957057734944029
1996,NJ,34,president,0.5372029286118354
1996,NM,35,president,0.4918320223567367
1996,NY,36,president,0.5667893903041855
1996,NC,37,president,0.4403553213740164
1996,ND,38,president,0.4012784757386144
1996,OH,39,president,0.4737574744720069
1996,OK,40,president,0.4044913745024708
1996,OR,41,president,0.4715197131575891
1996,PA,42,president,0.4922612476776189
1996,RI,44,president,0.5971858848370392
1996,SC,45,president,0.4400625292345037
1996,SD,46,president,0.4302711950244885
1996,TN,47,president,0.4799871179264085
1996,TX,48,president,0.43831771937065145
1996,UT,49,president,0.3329677643251721
1996,VT,50,president,0.5335443356329489
1996,VA,51,president,0.451477711634574
1996,WA,53,president,0.4984047204833357
1996,WV,54,president,0.515055958042859
1996,WI,55,president,0.488109521626068
1996,WY,56,president,0.3683586124752447
2000,AL,1,president,0.4156650294789806
2000,AK,2,president,0.2766633982350469
2000,AZ,4,president,0.4473458501738885
2000,AR,5,president,0.4586425626043496
2000,CA,6,president,0.5344973682775446
2000,CO,8,president,0.4239350901130605
2000,CT,9,president,0.5590962813244035
2000,DE,10,president,0.5497772716309091
2000,DC,11,president,0.8515508137933767
2000,FL,12,president,0.4883782120403615
2000,GA,13,president,0.4321099965624139
2000,HI,15,president,0.5579166791230354
2000,ID,16,president,0.2763812884383441
2000,IL,17,president,0.545965212095549
2000,IN,18,president,0.4101210293083897
2000,IA,19,president,0.4719191557860848
2000,KS,20,president,0.3723839226424526
2000,KY,21,president,0.4137818258591055
2000,LA,22,president,0.4487533245433992
2000,ME,23,president,0.4908601647394898
2000,MD,24,president,0.5648830838450493
2000,MA,25,president,0.5912612602067913
2000,MI,26,president,0.5127979887069135
2000,MN,27,president,0.4790557206035221
2000,MS,28,president,0.4069810015047517
2000,MO,29,president,0.4708427334810237
2000,MT,30,president,0.3336512679264014
2000,NE,31,president,0.33253039013283714
2000,NV,32,president,0.4594126276200884
2000,NH,33,president,0.468031791607873
2000,NJ,34,president,0.5612560891508792
2000,NM,35,president,0.4790855405484418
2000,NY,36,president,0.566392704823055
2000,NC,37,president,0.4314567116868325
2000,ND,38,president,0.3305533969804618
2000,OH,39,president,0.4644042809035648
2000,OK,40,president,0.384269045695734
2000,OR,41,president,0.4695994002412073
2000,PA,42,president,0.5060817131276611
2000,RI,44,president,0.6098770018967911
2000,SC,45,president,0.409015233737649
2000,SD,46,president,0.3756422539041133
2000,TN,47,president,0.4728489471775341
2000,TX,48,president,0.3798195809157104
2000,UT,49,president,0.26344722181136915
2000,VT,50,president,0.5063470921619528
2000,VA,51,president,0.4443561054475593
2000,WA,53,president,0.5015821531675426
2000,WV,54,president,0.4559266436669526
2000,WI,55,president,0.4783281966068744
2000,WY,56,president,0.282983820405566
2004,AL,1,president,0.3684440232237717
2004,AK,2,president,0.35516861912104364
2004,AZ,4,president,0.4439683292879555
2004,AR,5,president,0.4454763044518909
2004,CA,6,president,0.5430555753467436
2004,CO,8,president,0.470378422542883
2004,CT,9,president,0.543137089719902
2004,DE,10,president,0.5334683760228152
2004,DC,11,president,0.8918386895503239
2004,FL,12,president,0.4709111002771423
2004,GA,13,president,0.4137494605337877
2004,HI,15,president,0.5400955215809311
2004,ID,16,president,0.3026491704212736
2004,IL,17,president,0.5482316020902781
2004,IN,18,president,0.39262974665336575
2004,IA,19,president,0.4923313168421695
2004,KS,20,president,0.3662309430556444
2004,KY,21,president,0.3968707298140969
2004,LA,22,president,0.4221586470321228
2004,ME,23,president,0.5357285569259347
2004,MD,24,president,0.5597146761355201
2004,MA,25,president,0.616166602048537
2004,MI,26,president,0.5123070672905647
2004,MN,27,president,0.5108968468600654
2004,MS,28,president,0.4016111259282135
2004,MO,29,president,0.4610044651683188
2004,MT,30,president,0.3856502839483698
2004,NE,31,president,0.3268216082016382
2004,NV,32,president,0.4787804051895702
2004,NH,33,president,0.5020161082255741
2004,NJ,34,president,0.5292340900702746
2004,NM,35,president,0.4904667964204871
2004,NY,36,president,0.5613058126549186
2004,NC,37,president,0.43583146220501706
2004,ND,38,president,0.3549881246543683
2004,OH,39,president,0.4870668524315362
2004,OK,40,president,0.3442959833524394
2004,OR,41,president,0.5134866304221187
2004,PA,42,president,0.5092380914415062
2004,RI,44,president,0.5942342622628302
2004,SC,45,president,0.4090183593991469
2004,SD,46,president,0.384436459178548
2004,TN,47,president,0.4252529110879618
2004,TX,48,president,0.3822426046274135
2004,UT,49,president,0.2599564150870189
2004,VT,50,president,0.5893746257712714
2004,VA,51,president,0.4552591760381672
2004,WA,53,president,0.5282114831183694
2004,WV,54,president,0.4320514109702141
2004,WI,55,president,0.4969971708441122
2004,WY,56,president,0.2902309102316484
2008,AL,1,president,0.3874043429457492
2008,AK,2,president,0.3788937359938933
2008,AZ,4,president,0.4511525087476428
2008,AR,5,president,0.3886465976512423
2008,CA,6,president,0.6101263834713425
2008,CO,8,president,0.5366023684069159
2008,CT,9,president,0.6058882967612181
2008,DE,10,president,0.6194266898150393
2008,DC,11,president,0.9245710975614344
2008,FL,12,president,0.5103330527066491
2008,GA,13,president,0.4699017909606506
2008,HI,15,president,0.7145291011787819
2008,ID,16,president,0.3609098763283785
2008,IL,17,president,0.6191811452001323
2008,IN,18,president,0.4994591163968428
2008,IA,19,president,0.5392802007386527
2008,KS,20,president,0.41651967194013617
2008,KY,21,president,0.4116811378392879
2008,LA,22,president,0.3993291380234511
2008,ME,23,president,0.5770573729797597
2008,MD,24,president,0.6191934476264593
2008,MA,25,president,0.6136319910280229
2008,MI,26,president,0.5743324730745946
2008,MN,27,president,0.5406029269827984
2008,MS,28,president,0.430015544262384
2008,MO,29,president,0.4929264786570514
2008,MT,30,president,0.4726846477008176
2008,NE,31,president,0.415982657769247
2008,NV,32,president,0.551466759243187
2008,NH,33,president,0.5412689705613458
2008,NJ,34,president,0.5727213715188599
2008,NM,35,president,0.5690748026279335
2008,NY,36,president,0.6015696154075767
2008,NC,37,president,0.4970366639904743
2008,ND,38,president,0.4462054001471791
2008,OH,39,president,0.5150427006052537
2008,OK,40,president,0.343549188773065
2008,OR,41,president,0.5674880625692065
2008,PA,42,president,0.5448552801203738
2008,RI,44,president,0.6286400461245617
2008,SC,45,president,0.4489656001736624
2008,SD,46,president,0.44747431114601743
2008,TN,47,president,0.4182853806271298
2008,TX,48,president,0.4368312144588963
2008,UT,49,president,0.3440574566607516
2008,VT,50,president,0.6745568319560924
2008,VA,51,president,0.5262946987317566
2008,WA,53,president,0.5765289221364835
2008,WV,54,president,0.4258975038229675
2008,WI,55,president,0.5621778651794235
2008,WY,56,president,0.32509493770203685
2012,AL,1,president,0.3835903309875247
2012,AK,2,president,0.4081265911246443
2012,AZ,4,president,0.44589766941799386
2012,AR,5,president,0.36878990301720105
2012,CA,6,president,0.6023895914168964
2012,CO,8,president,0.5149222655161517
2012,CT,9,president,0.5808501325885442
2012,DE,10,president,0.5861074198458528
2012,DC,11,president,0.9091311392818724
2012,FL,12,president,0.5000786506869869
2012,GA,13,president,0.4550795966688209
2012,HI,15,president,0.7014793244563191
2012,ID,16,president,0.3262233355920978
2012,IL,17,president,0.5760213536247709
2012,IN,18,president,0.439273029040584
2012,IA,19,president,0.5198801653414908
2012,KS,20,president,0.3799457055391902
2012,KY,21,president,0.378013278344458
2012,LA,22,president,0.4057746362330215
2012,ME,23,president,0.5537103419348252
2012,MD,24,president,0.6197419077931849
2012,MA,25,president,0.6033830832021647
2012,MI,26,president,0.5420820421051875
2012,MN,27,president,0.5265230315324626
2012,MS,28,president,0.4378935954398935
2012,MO,29,president,0.4438348354545333
2012,MT,30,president,0.4169813737480581
2012,NE,31,president,0.38027314417928976
2012,NV,32,president,0.5235624947040056
2012,NH,33,president,0.5197968415071198
2012,NJ,34,president,0.5834235491063761
2012,NM,35,president,0.5299276052046678
2012,NY,36,president,0.6076098417487449
2012,NC,37,president,0.4835096857706756
2012,ND,38,president,0.3869731088897973
2012,OH,39,president,0.5066674765831987
2012,OK,40,president,0.3322768025698344
2012,OR,41,president,0.54239326652769
2012,PA,42,president,0.520768577021407
2012,RI,44,president,0.627009588632639
2012,SC,45,president,0.4408803340736147
2012,SD,46,president,0.3986614075835246
2012,TN,47,president,0.390758149937952
2012,TX,48,president,0.41383358283760857
2012,UT,49,president,0.2474966582796037
2012,VT,50,president,0.665705503023823
2012,VA,51,president,0.5115645679621864
2012,WA,53,president,0.5616339829967276
2012,WV,54,president,0.3553930415638732
2012,WI,55,president,0.5277616253515459
2012,WY,56,president,0.2763690611525283
2016,AL,1,president,0.3435794575797364
2016,AK,2,president,0.3655087129011199
2016,AZ,4,president,0.4512602184469321
2016,AR,5,president,0.3365312412936093
2016,CA,6,president,0.6172639960455788
2016,CO,8,president,0.481569803828474
2016,CT,9,president,0.5456630109670987
2016,DE,10,president,0.5335333680563419
2016,DC,11,president,0.9048388386787172
2016,FL,12,president,0.4782331580580505
2016,GA,13,president,0.4563998335736082
2016,HI,15,president,0.6098079805512905
2016,ID,16,president,0.27492013820979205
2016,IL,17,president,0.558253666987933
2016,IN,18,president,0.3777483968675204
2016,IA,19,president,0.4175251344549624
2016,KS,20,president,0.36052370732234496
2016,KY,21,president,0.3268218833364776
2016,LA,22,president,0.3844956609851397
2016,ME,23,president,0.4634521409730895
2016,MD,24,president,0.6032574423519277
2016,MA,25,president,0.5905006509667129
2016,MI,26,president,0.4727453095086684
2016,MN,27,president,0.4644503396176695
2016,MS,28,president,0.40114788271784096
2016,MO,29,president,0.3813523083523671
2016,MT,30,president,0.35935218775150346
2016,NE,31,president,0.33698756377135536
2016,NV,32,president,0.4791782367811904
