District,Urban,Suburban,Rural,Urban %,Suburban %,Rural %,Most Prevalent
KY-05,"45,627","137,502","526,376",6.4,19.4,74.2,Rural
KY-06,"179,221","358,165","219,899",23.7,47.3,29.0,Suburban
Louisiana,"1,122,936","1,870,107","1,670,417",24.1,40.1,35.8,Suburban
LA-01,"127,852","460,585","211,993",16.0,57.5,26.5,Suburban
LA-02,"405,964","295,186","86,783",51.5,37.5,11.0,Urban
LA-03,"170,518","295,087","311,569",21.9,38.0,40.1,Rural
LA-04,"134,936","257,054","370,514",17.7,33.7,48.6,Rural
LA-05,"133,827","188,849","425,317",17.9,25.2,56.9,Rural
LA-06,"149,839","373,346","264,241",19.0,47.4,33.6,Suburban
Maine,"169,159","439,217","721,791",12.7,33.0,54.3,Rural
ME-01,"91,738","267,431","315,013",13.6,39.7,46.7,Rural
ME-02,"77,421","171,786","406,778",11.8,26.2,62.0,Rural
Maryland,"1,319,786","3,851,529","824,763",22.0,64.2,13.8,Suburban
MD-01,"54,183","351,838","325,920",7.4,48.1,44.5,Suburban
MD-02,"180,013","554,445","18,127",23.9,73.7,2.4,Suburban
MD-03,"216,511","524,165","14,101",28.7,69.4,1.9,Suburban
MD-04,"228,149","501,992","18,780",30.5,67.0,2.5,Suburban
MD-05,"70,116","510,479","178,347",9.2,67.3,23.5,Suburban
MD-06,"100,315","529,198","135,732",13.1,69.2,17.7,Suburban
MD-07,"345,298","333,551","45,081",47.7,46.1,6.2,Urban
MD-08,"125,201","545,862","88,675",16.5,71.8,11.7,Suburban
Massachusetts,"2,038,547","4,008,444","742,258",30.0,59.0,10.9,Suburban
MA-01,"172,362","403,868","157,077",23.5,55.1,21.4,Suburban
MA-02,"147,184","397,736","193,129",19.9,53.9,26.2,Suburban
MA-03,"197,282","480,260","80,082",26.0,63.4,10.6,Suburban
MA-04,"99,822","586,395","70,174",13.2,77.5,9.3,Suburban
MA-05,"230,451","515,498","12,232",30.4,68.0,1.6,Suburban
MA-06,"140,384","570,653","52,782",18.4,74.7,6.9,Suburban
MA-07,"676,028","114,345","5,179",85.0,14.4,0.7,Urban
MA-08,"261,564","466,764","21,823",34.9,62.2,2.9,Suburban
MA-09,"113,470","472,925","149,781",15.4,64.2,20.3,Suburban
Michigan,"2,105,789","4,984,421","2,835,365",21.2,50.2,28.6,Suburban
MI-01,"76,667","161,396","460,640",11.0,23.1,65.9,Rural
MI-02,"130,281","375,450","223,216",17.9,51.5,30.6,Suburban
MI-03,"184,276","309,107","235,705",25.3,42.4,32.3,Suburban
MI-04,"68,455","197,846","440,909",9.7,28.0,62.3,Rural
MI-05,"166,918","311,442","202,442",24.5,45.7,29.7,Suburban
MI-06,"108,710","288,016","317,723",15.2,40.3,44.5,Rural
MI-07,"101,968","255,317","350,065",14.4,36.1,49.5,Rural
MI-08,"121,245","386,548","221,886",16.6,53.0,30.4,Suburban
MI-09,"137,233","576,966","7,255",19.0,80.0,1.0,Suburban
MI-10,"45,264","405,178","258,423",6.4,57.2,36.5,Suburban
MI-11,"49,793","628,312","42,922",6.9,87.1,6.0,Suburban
MI-12,"145,844","504,757","52,036",20.8,71.8,7.4,Suburban
MI-13,"415,784","252,247","15,302",60.8,36.9,2.2,Urban
MI-14,"353,351","331,838","6,840",51.1,48.0,1.0,Urban
Minnesota,"1,221,629","2,908,389","1,360,699",22.2,53.0,24.8,Suburban
MN-01,"135,683","292,909","240,865",20.3,43.8,36.0,Suburban
MN-02,"62,025","538,095","90,644",9.0,77.9,13.1,Suburban
MN-03,"64,989","611,615","28,484",9.2,86.7,4.0,Suburban
MN-04,"271,894","410,412","20,166",38.7,58.4,2.9,Suburban
MN-05,"432,098","264,100","5,744",61.6,37.6,0.8,Urban
MN-06,"67,198","413,223","217,409",9.6,59.2,31.2,Suburban
MN-07,"88,491","188,500","381,565",13.4,28.6,57.9,Rural
MN-08,"99,253","189,535","375,822",14.9,28.5,56.5,Rural
Mississippi,"573,197","948,145","1,464,890",19.2,31.8,49.1,Rural
MS-01,"97,795","247,259","409,385",13.0,32.8,54.3,Rural
MS-02,"222,086","173,847","310,801",31.4,24.6,44.0,Rural
MS-03,"120,661","236,611","406,671",15.8,31.0,53.2,Rural
MS-04,"132,656","290,427","338,033",17.4,38.2,44.4,Rural
Missouri,"1,327,209","2,894,452","1,853,653",21.8,47.6,30.5,Suburban
MO-01,"402,161","321,446","14,177",54.5,43.6,1.9,Urban
MO-02,"63,268","669,891","27,153",8.3,88.1,3.6,Suburban
MO-03,"77,484","383,831","314,230",10.0,49.5,40.5,Suburban
MO-04,"116,469","265,200","385,171",15.2,34.6,50.2,Rural
MO-05,"305,226","376,693","76,421",40.2,49.7,10.1,Suburban
MO-06,"111,708","384,054","269,450",14.6,50.2,35.2,Suburban
MO-07,"150,257","316,914","301,695",19.5,41.2,39.2,Suburban
MO-08,"100,636","176,423","465,356",13.6,23.8,62.7,Rural
Montana,"206,990","374,725","448,148",20.1,36.4,43.5,Rural
MT-AL,"206,990","374,725","448,148",20.1,36.4,43.5,Rural
Nebraska,"528,917","885,940","479,063",27.9,46.8,25.3,Suburban
NE-01,"178,223","306,789","147,784",28.2,48.5,23.4,Suburban
NE-02,"236,959","389,301","29,134",36.2,59.4,4.4,Suburban
NE-03,"113,736","189,851","302,145",18.8,31.3,49.9,Rural
Nevada,"851,093","1,807,370","229,254",29.5,62.6,7.9,Suburban
NV-01,"354,296","325,665","8,113",51.5,47.3,1.2,Urban
NV-02,"151,959","404,009","145,986",21.6,57.6,20.8,Suburban
NV-03,"176,410","572,769","14,052",23.1,75.0,1.8,Suburban
NV-04,"168,428","504,927","61,103",22.9,68.7,8.3,Suburban
New Hampshire,"172,183","588,579","571,091",12.9,44.2,42.9,Suburban
NH-01,"95,046","339,271","238,847",14.1,50.4,35.5,Suburban
NH-02,"77,136","249,308","332,244",11.7,37.8,50.4,Rural
New Jersey,"2,122,120","6,127,049","711,005",23.7,68.4,7.9,Suburban
NJ-01,"136,388","554,174","41,634",18.6,75.7,5.7,Suburban
NJ-02,"125,132","404,013","196,914",17.1,55.7,27.2,Suburban
NJ-03,"59,974","580,570","93,676",8.2,79.1,12.8,Suburban
NJ-04,"88,237","584,621","69,048",11.9,78.8,9.3,Suburban
NJ-05,"65,211","585,295","102,649",8.7,77.7,13.6,Suburban
NJ-06,"180,025","554,417","15,728",24.0,73.9,2.1,Suburban
NJ-07,"43,013","609,572","91,544",5.8,81.9,12.3,Suburban
NJ-08,"571,237","195,229","6,162",73.9,25.3,0.8,Urban
NJ-09,"225,889","508,058","19,590",30.0,67.4,2.6,Suburban
NJ-10,"430,625","316,726","8,259",57.0,41.9,1.1,Urban
NJ-11,"55,337","650,311","35,161",7.5,87.8,4.7,Suburban
NJ-12,"141,052","584,062","30,638",18.7,77.3,4.1,Suburban
New Mexico,"588,003","882,881","613,941",28.2,42.3,29.4,Suburban
NM-01,"298,361","328,418","78,538",42.3,46.6,11.1,Suburban
NM-02,"172,772","256,196","267,557",24.8,36.8,38.4,Rural
NM-03,"116,870","298,267","267,846",17.1,43.7,39.2,Suburban
New York,"8,949,617","8,215,936","2,632,666",45.2,41.5,13.3,Urban
NY-01,"36,866","615,786","68,981",5.1,85.3,9.6,Suburban
NY-02,"56,021","656,143","8,756",7.8,91.0,1.2,Suburban
NY-03,"75,765","647,484","11,633",10.3,88.1,1.6,Suburban
NY-04,"121,828","590,740","5,977",17.0,82.2,0.8,Suburban
NY-05,"491,006","294,213","5,854",62.1,37.2,0.7,Urban
NY-06,"519,859","204,085","3,212",71.5,28.1,0.4,Urban
NY-07,"669,781","74,827","4,454",89.4,10.0,0.6,Urban
NY-08,"605,222","161,962","3,919",78.5,21.0,0.5,Urban
NY-09,"664,203","80,449","3,105",88.8,10.8,0.4,Urban
NY-10,"687,932","60,374","1,213",91.8,8.1,0.2,Urban
NY-11,"292,512","432,288","4,212",40.1,59.3,0.6,Suburban
NY-12,"703,719","21,467",416,97.0,3.0,0.1,Urban
NY-13,"766,731","14,936","6,385",97.3,1.9,0.8,Urban
NY-14,"609,249","119,444","7,407",82.8,16.2,1.0,Urban
