stcode,ABBcode,AnyCong,NoCong,EvanProt,Catholic,MainProt,Other,CongSession,YrElected,stateabbr,CDnum
18,IN09,51.269451,48.730549,18.202608,17.122746,15.220208,.72388935,106,1998,IN,9
18,IN04,47.021969,52.978031,19.987961,13.66856,12.62211,.74333763,106,1998,IN,4
18,IN03,41.646358,58.353642,14.453392,16.915056,8.9411774,1.3367329,106,1998,IN,3
18,IN02,39.122536,60.877464,16.295567,7.1934652,14.929227,.70427704,106,1998,IN,2
18,IN01,44.064018,55.935982,10.412892,25.093588,5.8964548,2.6610832,106,1998,IN,1
19,IA03,49.675774,50.324226,12.325467,10.436938,25.981829,.93153954,106,1998,IA,3
19,IA05,72.705399,27.294601,17.119431,19.349451,35.678162,.55835533,106,1998,IA,5
19,IA04,49.386257,50.613743,11.615174,14.400878,22.007046,1.3631592,106,1998,IA,4
19,IA01,50.252468,49.747532,8.8472548,19.865957,19.666731,1.8725252,106,1998,IA,1
19,IA02,72.07576,27.92424,8.863739,31.764221,30.792801,.65499878,106,1998,IA,2
20,KS03,44.694397,55.305603,11.693752,17.7749,12.441969,2.7837753,106,1998,KS,3
20,KS01,58.913868,41.086132,17.432985,16.814407,23.883663,.78281212,106,1998,KS,1
20,KS04,49.83041,50.16959,19.980162,12.703985,15.537369,1.6088943,106,1998,KS,4
20,KS02,44.738544,55.261456,13.693676,12.843951,17.131132,1.0697851,106,1998,KS,2
21,KY05,42.247795,57.752205,36.684181,.82312012,4.4661202,.27437353,106,1998,KY,5
21,KY01,62.836903,37.163097,47.841763,3.7894466,10.718369,.487324,106,1998,KY,1
21,KY02,57.797756,42.202244,36.805775,12.826689,7.4486222,.71667051,106,1998,KY,2
21,KY03,54.604931,45.395069,21.546301,22.62804,8.2103043,2.2202854,106,1998,KY,3
21,KY06,51.35619,48.64381,32.291855,5.767107,12.057873,1.2393551,106,1998,KY,6
21,KY04,51.667149,48.332851,26.718904,14.773029,9.4483318,.72688293,106,1998,KY,4
22,LA07,75.076538,24.923462,14.626844,55.724815,4.2332273,.49165106,106,1998,LA,7
22,LA01,54.811783,45.188217,17.851879,30.810091,4.5321631,1.6176496,106,1998,LA,1
22,LA05,58.806709,41.193291,42.720062,9.333971,6.0804396,.67223644,106,1998,LA,5
22,LA04,54.105907,45.894093,39.14312,6.1688256,7.738914,1.055048,106,1998,LA,4
22,LA03,68.527542,31.472458,8.6947279,57.177166,2.2780881,.37756014,106,1998,LA,3
22,LA06,51.897961,48.102039,19.986647,23.720394,7.1516423,1.0392776,106,1998,LA,6
22,LA02,47.271721,52.728279,8.8441324,31.42379,4.3345113,2.6692872,106,1998,LA,2
23,ME02,36.116547,63.883453,3.8743291,22.376291,8.6043921,1.2615342,106,1998,ME,2
23,ME01,36.578808,63.421192,2.8241513,22.037941,9.4146433,2.3020723,106,1998,ME,1
24,MD03,43.573982,56.426018,5.4992757,19.962311,10.194993,7.9174027,106,1998,MD,3
24,MD04,36.859016,63.140984,8.7428122,13.046065,7.9136147,7.1565242,106,1998,MD,4
24,MD08,52.662476,47.337524,7.8814573,21.198593,10.081858,13.500567,106,1998,MD,8
24,MD05,34.647114,65.35289,8.2028503,15.398753,8.0669909,2.9785194,106,1998,MD,5
24,MD07,40.933258,59.066742,4.6164908,15.458913,10.333287,10.524567,106,1998,MD,7
24,MD01,41.471386,58.528614,9.1142015,15.277949,15.71124,1.3679953,106,1998,MD,1
24,MD02,47.05658,52.94342,6.8191752,25.811169,10.094923,4.3313127,106,1998,MD,2
24,MD06,48.343273,51.656727,10.043703,17.496796,18.301146,2.5016289,106,1998,MD,6
25,MA02,59.486599,40.513401,2.4141793,45.908882,6.9234624,4.2400751,106,1998,MA,2
25,MA07,72.178703,27.821297,2.1852374,53.198372,6.2618184,10.533276,106,1998,MA,7
25,MA04,64.309723,35.690277,2.1799846,50.717815,5.3673143,6.0446086,106,1998,MA,4
25,MA08,65.1931,34.8069,3.4487584,48.468014,4.6825533,8.5937748,106,1998,MA,8
25,MA10,57.284122,42.715878,1.7811142,42.41906,7.5640912,5.5198574,106,1998,MA,10
25,MA05,70.970772,29.029228,1.9957101,52.80854,6.6862316,9.4802895,106,1998,MA,5
25,MA06,65.534576,34.465424,2.0209458,50.633076,6.8080153,6.0725393,106,1998,MA,6
25,MA03,60.734341,39.265659,2.7943366,46.508923,6.3210907,5.1099911,106,1998,MA,3
25,MA09,65.9916,34.0084,2.7586744,51.193245,4.9259686,7.1137123,106,1998,MA,9
25,MA01,59.534966,40.465034,2.1693709,45.35548,8.0021229,4.0079918,106,1998,MA,1
26,MI01,51.28429,48.71571,8.8292665,28.085537,13.754944,.61454296,106,1998,MI,1
26,MI12,46.366879,53.633121,7.3804398,28.061251,5.5520215,5.3731666,106,1998,MI,12
26,MI09,43.439091,56.560909,9.7207298,21.348198,6.6708322,5.6993308,106,1998,MI,9
26,MI03,50.045448,49.954552,18.908955,19.68977,9.3861589,2.060565,106,1998,MI,3
26,MI04,35.790699,64.209305,13.061191,14.249357,7.9188905,.5612607,106,1998,MI,4
26,MI16,41.607594,58.392406,8.5786791,23.213081,6.1878743,3.6279588,106,1998,MI,16
26,MI15,37.710236,62.289764,6.4395237,21.884211,5.6642323,3.7222691,106,1998,MI,15
26,MI06,37.09494,62.90506,14.29289,12.063049,9.7884703,.95053101,106,1998,MI,6
26,MI07,33.16074,66.839264,12.780354,11.574959,8.0916529,.71377468,106,1998,MI,7
26,MI13,36.149872,63.850128,6.4577684,18.629982,6.9606638,4.1014576,106,1998,MI,13
26,MI05,46.673729,53.326271,16.815439,21.607513,7.6695051,.58127117,106,1998,MI,5
26,MI11,46.144321,53.855679,6.992321,24.601927,6.8068094,7.7432642,106,1998,MI,11
26,MI08,38.113785,61.886215,9.3187351,18.04892,8.3674316,2.3786983,106,1998,MI,8
